Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2023 January,Other reason for journey,Thousand,571.1
Number of Overnight Trips by Foreign Visitors,2023 January,All reasons for journey,Thousand,3696.2
Number of Overnight Trips by Foreign Visitors,2023 February,Business,Thousand,373.7
Number of Overnight Trips by Foreign Visitors,2023 February,Holiday/leisure/recreation,Thousand,529.8
Number of Overnight Trips by Foreign Visitors,2023 February,Visit to friends/relatives,Thousand,913.2
Number of Overnight Trips by Foreign Visitors,2023 February,Other reason for journey,Thousand,626.6
Number of Overnight Trips by Foreign Visitors,2023 February,All reasons for journey,Thousand,2443.3
Number of Overnight Trips by Foreign Visitors,2023 March,Business,Thousand,312.3
Number of Overnight Trips by Foreign Visitors,2023 March,Holiday/leisure/recreation,Thousand,910.1
Number of Overnight Trips by Foreign Visitors,2023 March,Visit to friends/relatives,Thousand,1012.3
Number of Overnight Trips by Foreign Visitors,2023 March,Other reason for journey,Thousand,909.4
Number of Overnight Trips by Foreign Visitors,2023 March,All reasons for journey,Thousand,3144.1
Number of Overnight Trips by Foreign Visitors,2023 April,Business,Thousand,604.8
Number of Overnight Trips by Foreign Visitors,2023 April,Holiday/leisure/recreation,Thousand,982.9
Number of Overnight Trips by Foreign Visitors,2023 April,Visit to friends/relatives,Thousand,1408
Number of Overnight Trips by Foreign Visitors,2023 April,Other reason for journey,Thousand,671.8
Number of Overnight Trips by Foreign Visitors,2023 April,All reasons for journey,Thousand,3667.5
Number of Overnight Trips by Foreign Visitors,2023 May,Business,Thousand,463.3
Number of Overnight Trips by Foreign Visitors,2023 May,Holiday/leisure/recreation,Thousand,1493.5
Number of Overnight Trips by Foreign Visitors,2023 May,Visit to friends/relatives,Thousand,1341.4
Number of Overnight Trips by Foreign Visitors,2023 May,Other reason for journey,Thousand,1177.9
Number of Overnight Trips by Foreign Visitors,2023 May,All reasons for journey,Thousand,4476.1
Number of Overnight Trips by Foreign Visitors,2023 June,Business,Thousand,433.8
Number of Overnight Trips by Foreign Visitors,2023 June,Holiday/leisure/recreation,Thousand,1946.8
Number of Overnight Trips by Foreign Visitors,2023 June,Visit to friends/relatives,Thousand,1589.8
Number of Overnight Trips by Foreign Visitors,2023 June,Other reason for journey,Thousand,547.8
Number of Overnight Trips by Foreign Visitors,2023 June,All reasons for journey,Thousand,4518.2
Number of Overnight Trips by Foreign Visitors,2023 July,Business,Thousand,393.9
Number of Overnight Trips by Foreign Visitors,2023 July,Holiday/leisure/recreation,Thousand,2218.2
Number of Overnight Trips by Foreign Visitors,2023 July,Visit to friends/relatives,Thousand,2187.5
Number of Overnight Trips by Foreign Visitors,2023 July,Other reason for journey,Thousand,844.2
Number of Overnight Trips by Foreign Visitors,2023 July,All reasons for journey,Thousand,5643.8
Number of Overnight Trips by Foreign Visitors,2023 August,Business,Thousand,815.6
Number of Overnight Trips by Foreign Visitors,2023 August,Holiday/leisure/recreation,Thousand,2989.7
Number of Overnight Trips by Foreign Visitors,2023 August,Visit to friends/relatives,Thousand,2685.2
Number of Overnight Trips by Foreign Visitors,2023 August,Other reason for journey,Thousand,847.3
Number of Overnight Trips by Foreign Visitors,2023 August,All reasons for journey,Thousand,7337.7
Number of Overnight Trips by Foreign Visitors,2023 September,Business,Thousand,504.8
Number of Overnight Trips by Foreign Visitors,2023 September,Holiday/leisure/recreation,Thousand,2117.4
Number of Overnight Trips by Foreign Visitors,2023 September,Visit to friends/relatives,Thousand,1682.3
Number of Overnight Trips by Foreign Visitors,2023 September,Other reason for journey,Thousand,345.3
Number of Overnight Trips by Foreign Visitors,2023 September,All reasons for journey,Thousand,4649.8
Number of Overnight Trips by Foreign Visitors,2023 October,Business,Thousand,527.6
Number of Overnight Trips by Foreign Visitors,2023 October,Holiday/leisure/recreation,Thousand,1766.1
Number of Overnight Trips by Foreign Visitors,2023 October,Visit to friends/relatives,Thousand,1351.1
Number of Overnight Trips by Foreign Visitors,2023 October,Other reason for journey,Thousand,313.5
Number of Overnight Trips by Foreign Visitors,2023 October,All reasons for journey,Thousand,3958.2
Number of Overnight Trips by Foreign Visitors,2023 November,Business,Thousand,463.3
Number of Overnight Trips by Foreign Visitors,2023 November,Holiday/leisure/recreation,Thousand,920.2
Number of Overnight Trips by Foreign Visitors,2023 November,Visit to friends/relatives,Thousand,1303.6
Number of Overnight Trips by Foreign Visitors,2023 November,Other reason for journey,Thousand,395.2
Number of Overnight Trips by Foreign Visitors,2023 November,All reasons for journey,Thousand,3082.3
Number of Overnight Trips by Foreign Visitors,2023 December,Business,Thousand,675.8
Number of Overnight Trips by Foreign Visitors,2023 December,Holiday/leisure/recreation,Thousand,724.6
Number of Overnight Trips by Foreign Visitors,2023 December,Visit to friends/relatives,Thousand,1172.9
