"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20194","2019Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All reasons for journey","20194","2019Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"-","All reasons for journey","20194","2019Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1910"
"-","All reasons for journey","20194","2019Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.5"
"-","All reasons for journey","20194","2019Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1618"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","371"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","684"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","631"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","863"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","453"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1124"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","912"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1075"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","608"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1376"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.5"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1486"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","523"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","272"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","717"
