"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"4","Other reason for journey","20183","2018Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"4","Other reason for journey","20183","2018Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"4","Other reason for journey","20183","2018Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","60"
"4","Other reason for journey","20183","2018Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"4","Other reason for journey","20183","2018Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","39"
"4","Other reason for journey","20184","2018Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","302"
"4","Other reason for journey","20184","2018Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"4","Other reason for journey","20184","2018Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"4","Other reason for journey","20184","2018Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","55"
"4","Other reason for journey","20184","2018Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"4","Other reason for journey","20184","2018Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","45"
"4","Other reason for journey","20191","2019Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","267"
"4","Other reason for journey","20191","2019Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"4","Other reason for journey","20191","2019Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","67"
"4","Other reason for journey","20191","2019Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","38"
"4","Other reason for journey","20191","2019Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"4","Other reason for journey","20191","2019Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","28"
"4","Other reason for journey","20192","2019Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","411"
"4","Other reason for journey","20192","2019Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"4","Other reason for journey","20192","2019Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"4","Other reason for journey","20192","2019Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","41"
"4","Other reason for journey","20192","2019Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"4","Other reason for journey","20192","2019Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","40"
"4","Other reason for journey","20193","2019Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","444"
"4","Other reason for journey","20193","2019Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"4","Other reason for journey","20193","2019Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"4","Other reason for journey","20193","2019Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","46"
"4","Other reason for journey","20193","2019Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"4","Other reason for journey","20193","2019Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","39"
"4","Other reason for journey","20194","2019Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","318"
"4","Other reason for journey","20194","2019Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"4","Other reason for journey","20194","2019Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"4","Other reason for journey","20194","2019Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","55"
"4","Other reason for journey","20194","2019Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"4","Other reason for journey","20194","2019Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","54"
